phylum,subphylum,class,subclass,superorder,oorder,suborder,infraorder,superfamily,family,subfamily,genus,species,det_level,tubes,event,LKTL
Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,sinensis,species,BLAN00320160428,BLAN00320160428,Collembola
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Allonemobius,indet.,genus,BLAN00320160623,BLAN00320160623,Orthoptera
Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,sinensis,species,BLAN00320160623,BLAN00320160623,Collembola
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Velarifictorus,micado,species,BLAN00320160623,BLAN00320160623,Orthoptera
Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Erebidae,Erebinae,Caenurgina,crassiuscula,species,BLAN00320160929,BLAN00320160929,Lepidoptera
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Velarifictorus,micado,species,BLAN00320160929,BLAN00320160929,Orthoptera
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,rubens,species,BLAN00320160929,BLAN00320160929,Orthoptera
Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Homidia,sinensis,species,BLAN00320160929,BLAN00320160929,Collembola
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Trigonidiidae,Nemobiinae,Eunemobius,carolinus,species,BLAN00320160929,BLAN00320160929,Orthoptera
Arthropoda,Myriapoda,Diplopoda,Helminthomorpha,NULL,Polydesmida,Paradoxosomatidea,NULL,NULL,Paradoxosomatidae,NULL,Oxidus,gracilis,species,BLAN00320160929,BLAN00320160929,Myriapoda
Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Pirata,alachuus,species,BLAN00320160929,BLAN00320160929,Araneae
Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Araneoidea,Linyphiidae,NULL,Agyneta,micaria,species,BLAN00320160929,BLAN00320160929,Araneae
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneuroptera,Blattodea,NULL,NULL,Blaberoidea,Blattellidae,Blattellinae,Parcoblatta,indet.,genus,CLBJ03220160525,CLBJ03220160525,Insecta
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,rubens,species,CLBJ03220160525,CLBJ03220160525,Orthoptera
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,veletis,species,CLBJ03220160525,CLBJ03220160525,Orthoptera
Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Araneoidea,Linyphiidae,NULL,Erigone,autumnalis,species,CLBJ03220160525,CLBJ03220160525,Araneae
Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Aedes,vexans,species,CLBJ03220160525,CLBJ03220160525,Diptera
Arthropoda,Hexapoda,Insecta,Pterygota,Polyneuroptera,Blattodea,NULL,NULL,Blattoidea,Blattellidae,Blattellinae,Parcoblatta,pensylvanica,species,CLBJ03220160525,CLBJ03220160525,Insecta
