"","Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"1","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Acari","Arachnida","Chelicerata","Arthropoda"
"2","Acmaeoderopsis","Acmaeoderopsis","Polycestinae","Buprestidae","Buprestoidea","Elateriformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"3","Acrididae","Acrididae","Acrididae","Acrididae","Acridooidea","Acrididea","Caelifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"4","Aeolus","Aeolus","Agrypninae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"5","Alydidae","Alydidae","Alydidae","Alydidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"6","Alydinae","Alydinae","Alydinae","Alydidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"7","Amblypigi","Amblypigi","indet.","indet.","indet.","indet.","indet.","Amblypigi","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"8","Ammophila","Ammophila","Ammophilinae","Sphecidae","Apoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"9","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida","Annelida"
"10","Anochetus","Anochetus","Ponerinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"11","Aphaenogaster","Aphaenogaster","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
