"event","Gastropoda","Staphylinidae","Diptera","Araneae","Diplopoda","Coleoptera","Isopoda","Insecta","Opiliones","Orthoptera","Arthropoda","Formicidae","Acari","Collembola","Opilioacarida","Aphaenogaster","Myrmicinae","Dorymyrmex","Formicinae","Annelida","Hymenoptera","Arachnida","Solenopsis","Scarabaeidae","Camponotus","Hemiptera","Crematogaster","Formica","Pheidole","Pogonomyrmex","Zygentoma","Canthon","Tenebrionidae","Lepidoptera","Neivamyrmex","Forelius","Canthon.viridis","Novomessor"
"BLAN00120160428",0,1,1,0,0,0,1,0,2,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160428",4,1,4,10,4,0,0,1,4,0,0,0,2,8,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160623",0,0,2,0,0,1,1,1,0,28,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160929",0,1,13,10,1,3,1,2,1,30,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,10,0,0,0,0
"CLBJ03220160525",1,0,11,4,0,0,0,8,0,22,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ03220160720",0,0,0,3,0,0,0,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ03220160914",0,0,3,4,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CLBJ04220160525",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ04220160720",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ04220160914",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
