"event","Gastropoda","Staphylinidae","Diptera","Araneae","Diplopoda","Coleoptera","Isopoda","Insecta","Opiliones","Orthoptera","Arthropoda","Formicidae","Acari","Collembola","Opilioacarida","Aphaenogaster","Myrmicinae","Dorymyrmex","Formicinae","Annelida","Hymenoptera","Arachnida","Solenopsis","Scarabaeidae","Camponotus","Hemiptera","Crematogaster","Formica","Pheidole","Pogonomyrmex","Zygentoma","Canthon","Tenebrionidae","Lepidoptera","Neivamyrmex","Forelius","Canthon.viridis","Novomessor"
"BLAN00120160428",0,1,1,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160428",2,1,4,8,2,0,0,1,2,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160623",0,0,2,0,0,1,1,1,0,6,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"BLAN00320160929",0,1,11,9,1,3,1,2,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0
"CLBJ03220160525",1,0,8,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ03220160720",0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ03220160914",0,0,2,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CLBJ04220160525",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ04220160720",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLBJ04220160914",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"CPER00220160714",0,0,5,5,0,4,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CPER00520160505",0,0,4,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
"CPER00520160714",1,0,6,5,0,3,0,1,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0
"CPER00520160922",0,0,10,7,0,5,0,0,0,9,0,0,3,3,0,0,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,2,11,0,0,0,0
"DEJU00320160720",1,2,10,10,0,5,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,3,0,0,0,0
"DEJU00320160817",0,1,13,15,0,3,0,0,0,0,0,0,4,1,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"DEJU00320160831",1,1,21,6,0,3,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0
"DEJU02120160720",2,1,13,9,0,1,0,1,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,0,0,0
"DEJU02120160817",0,0,8,3,0,0,0,1,0,0,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"DEJU02120160831",1,0,6,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELA00620160426",3,1,8,4,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"DELA00620160705",0,0,8,1,0,2,0,1,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"DELA00620160913",0,0,5,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELA01420160426",2,0,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"DELA01420160705",0,1,4,5,0,3,0,2,0,11,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DELA01420160913",0,0,7,8,0,3,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"GUAN00820160502",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GUAN00820160725",0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUAN00820161003",2,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
